baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison_exp_vs_contr	gene	symbol	FoldChange
ANPEP	39.0712459950456	-1.72725475971253	0.516236410634799	-3.34586000547419	0.000820277989197232	0.00632382941553985	SENS_vs_RESIST	ANPEP	ANPEP	0.302026122560459
ANXA6	6.45715100110319	-2.95389006640389	0.815135770639199	-3.62380130133114	0.000290304660242966	0.00264850411047749	SENS_vs_RESIST	ANXA6	ANXA6	0.129059650927058
AP000330.8	43.0980260896007	1.37173083365226	0.332566304842631	4.12468375081282	3.7124450636226e-05	0.000445466190295536	SENS_vs_RESIST	AP000330.8	AP000330.8	2.58780845159649
AP000688.8	148.965215019531	1.29863266087701	0.262688925994685	4.94361403306086	7.66874588499884e-07	1.41984574547258e-05	SENS_vs_RESIST	AP000688.8	AP000688.8	2.45995625550213
APCDD1L	27.3710111073319	1.56628356723433	0.438119630292349	3.57501344139541	0.000350209903413358	0.00309999215206405	SENS_vs_RESIST	APCDD1L	APCDD1L	2.96140861500164
APH1B	150.436716587299	-1.45150761421905	0.233808075199103	-6.20811583596073	5.36236204652691e-10	1.89150387102383e-08	SENS_vs_RESIST	APH1B	APH1B	0.36563913191291
APLF	15.3706946496591	-1.1319091589657	0.40539318767156	-2.7921267386534	0.00523628420304561	0.0284812074044423	SENS_vs_RESIST	APLF	APLF	0.456311475569904
APLN	6.96745151325011	2.66896004709385	0.810253833047515	3.29398015564505	0.000987794719399921	0.00738567207511124	SENS_vs_RESIST	APLN	APLN	6.35970588426466
APLP1	9.60727254786737	1.63272849747127	0.596574097761329	2.73684107908499	0.00620322521469834	0.0323648425522606	SENS_vs_RESIST	APLP1	APLP1	3.10098919155706
APOBEC3B	302.545019427657	1.15355342438584	0.203878827880728	5.6580344137582	1.53116438158045e-08	4.07488901354913e-07	SENS_vs_RESIST	APOBEC3B	APOBEC3B	2.22461152248463
APOBEC3G	37.8866873495482	5.4331745281894	0.771016324179474	7.04676977361207	1.83118920189642e-12	1.05531949533235e-10	SENS_vs_RESIST	APOBEC3G	APOBEC3G	43.2064420519124
APOC1	31.2121844155621	1.19294115492757	0.333426080953165	3.57782795970041	0.000346461363401128	0.00307179476423958	SENS_vs_RESIST	APOC1	APOC1	2.28618341940017
